Country,Category,Value
United States,Thousands of machine-tools for working metal,112
Germany,Thousands of machine-tools for working metal,125
Soviet Union,Thousands of machine-tools for working metal,58.4
Great Britain,Thousands of machine-tools for working metal,0
United States,Millions of tons of Cement,22.6
Germany,Millions of tons of Cement,10.9
Soviet Union,Millions of tons of Cement,5.7
Great Britain,Millions of tons of Cement,7.3
